Transaction ID,Day Name,Brand,Units Sold,Price Per Unit,Customer Name,Customer Age,City,Payment Method,Customer Ratings,Mobile Model,Date
1,Sat,Xiaomi,6,10174.7,Lalita Ahuja,38,Ludhiana,UPI,5,Redmi Note 10,10/9/2021
2,Saturday,Vivo,6,10565.19,Sneha Sharma,37,Delhi,Credit Card,3,Vivo Y51,10/9/2021
3,Saturday,Vivo,8,58527.58,Radha Srivastava,40,Mumbai,UPI,5,Vivo S1,10/9/2021
4,Sunday,Xiaomi,5,25563.98,Bhavana Arora,21,Mumbai,Credit Card,4,Mi 11,10/10/2021
5,Sunday,OnePlus,3,48168.02,Sneha Mehta,38,Gorakhpur,Cash,5,OnePlus 9,10/10/2021
6,Sunday,Samsung,3,37252.87,Reena Mehta,38,Jodhpur,UPI,3,Galaxy Note 20,10/10/2021
7,Sun,OnePlus,6,61805.8,Pankaj Alva,18,Delhi,Cash,4,OnePlus Nord,10/10/2021
8,Monday,Apple,2,65017.67,Mala Rawat,32,Vadodara,Cash,3,iPhone 12,10/11/2021
9,Mon,Vivo,6,69808.46,Pankaj Varma,34,Delhi,UPI,5,Vivo Y51,10/11/2021
10,Monday,Samsung,6,19221.05,Yogesh Sharma,31,Mumbai,Debit Card,2,Galaxy A51,10/11/2021
11,Tuesday,Samsung,8,61777.84,Radha Sharma,36,Madurai,Credit Card,5,Galaxy A51,10/12/2021
12,Tuesday,Apple,7,25961.28,Namita Roy,51,Delhi,UPI,4,iPhone 12,10/12/2021
13,Tuesday,Apple,8,45448.95,Ramesh Joshi,23,Mumbai,Cash,5,iPhone 12,10/12/2021
14,Wed,Xiaomi,9,40346.37,Arun Iyer,23,Hyderabad,Credit Card,2,Redmi Note 10,10/13/2021
15,Wednesday,Vivo,6,11079.29,Manoj Siddiqui,22,Chennai,Cash,5,Vivo V20,10/13/2021
16,Wednesday,Vivo,3,65966.28,Anjali Gupta,24,Mumbai,Credit Card,2,Vivo Y51,10/13/2021
17,Thursday,OnePlus,3,14699.62,Ramesh Rao,50,Coimbatore,UPI,4,OnePlus Nord,10/14/2021
18,Thu,Xiaomi,1,51293.14,Anand Pillai,30,Delhi,Cash,3,Redmi Note 10,10/14/2021
